HOURS_OF_SLEEP,REM_SLEEP,DEEP_SLEEP,HEART_RATE_BELOW_RESTING,SCORE,,
8.1,0.18,0.22,0.10,0.00,,
8.54,0.21,0.11,0.98,0.00,,
7.03,0.20,0.15,0.95,0.00,,
6.33,0.14,0.22,0.95,0.00,,
6.59,0.22,0.23,0.93,0.00,,
6.34,0.20,0.20,0.96,0.00,,
7.38,0.30,0.21,0.92,0.00,,
8.06,0.20,0.13,0.84,0.00,,
7.57,0.12,0.18,0.90,0.00,,
7.06,0.13,0.22,0.93,0.00,,
7.04,0.19,0.17,0.97,0.00,,
9.24,0.17,0.15,0.66,0.00,,
8.19,0.14,0.13,0.21,0.00,,
7.37,0.20,0.15,0.80,0.00,,
6.46,0.16,0.17,0.89,0.00,,
7.1,0.24,0.19,0.98,0.00,,
7.16,0.21,0.17,0.96,0.00,,
6.52,0.19,0.21,0.97,0.00,,
7.28,0.18,0.16,0.74,0.00,,
6.06,0.16,0.21,0.43,0.00,,
6.59,0.23,0.22,0.91,0.00,,
7.19,0.21,0.22,0.96,0.00,,
7.22,0.17,0.11,0.55,0.00,,
6.57,0.15,0.14,0.67,0.00,,
7.14,0.24,0.19,0.98,0.00,,
6.5,0.20,0.20,0.75,0.00,,
7.56,0.24,0.17,0.63,0.00,,
7.33,0.19,0.16,0.95,0.00,,
8.21,0.14,0.19,0.94,0.00,,
8.15,0.20,0.14,0.72,0.00,,
6.26,0.18,0.13,0.55,0.00,,
6.51,0.20,0.17,0.51,0.00,,
8.45,0.22,0.19,0.56,0.00,,
7.53,0.24,0.19,0.66,0.00,,
6.13,0.22,0.22,0.81,0.00,,
7.44,0.18,0.21,0.81,0.00,,
6.48,0.12,0.13,0.74,0.00,,
