TotalSteps,TotalDistance,Calories,SCORE
1201,0.810000002,1426,0
5202,3.50999999,1780,0
4878,3.289999962,1742,0
7379,4.96999979,1972,0
5161,3.480000019,1821,0
3090,2.079999924,1630,0
6227,4.199999809,1899,0
6424,4.329999924,1903,0
2661,1.789999962,1125,0
10113,6.829999924,2344,0
10352,7.010000229,2038,0
10129,6.699999809,2010,0
10465,6.920000076,2133,0
22244,15.07999992,2670,0
5472,3.619999886,1882,0
8247,5.449999809,1944,0
6711,4.440000057,2346,0
10999,7.269999981,2198,0
10080,6.75,2048,0
7804,5.159999847,1946,0
16901,11.36999989,2629,0
9471,6.260000229,2187,0
9482,6.380000114,2095,0
5980,3.950000048,1861,0
11423,7.579999924,2194,0
5439,3.599999905,1854,0
42,0.029999999,403,0
8796,5.909999847,1982,0
7618,5.119999886,2004,0
7910,5.320000172,1893,0
8482,5.699999809,2063,0
9685,6.650000095,2148,0
2524,1.700000048,1529,0
7762,5.239999771,1890,0
7948,5.369999886,1956,0
9202,6.300000191,2094,0
8859,5.980000019,1970,0
7286,4.900000095,2241,0
9317,6.349999905,2021,0
6873,4.679999828,1898,0
7373,4.949999809,1907,0
8242,5.539999962,1882,0
3516,2.359999895,1966,0
7913,5.409999847,1835,0
7365,4.949999809,1780,0
8452,5.679999828,1830,0
7399,4.96999979,1739,0
7525,5.059999943,1878,0
7412,4.980000019,1906,0
8278,5.559999943,2015,0
8314,5.610000134,1971,0
7063,4.75,1910,0
4940,3.380000114,1897,0
8168,5.539999962,2096,0
7726,5.190000057,1906,0
8275,5.559999943,1962,0
6440,4.329999924,1826,0
7566,5.110000134,1431,0
4747,3.24000001,1788,0
9715,6.630000114,2093,0
8844,6.03000021,2065,0
7451,5.079999924,1908,0
6905,4.730000019,1908,0
8199,5.880000114,1964,0
6798,4.639999866,2014,0
7711,5.260000229,1985,0
4880,3.329999924,1867,0
8857,6.070000172,2124,0
3843,2.619999886,1669,0
7396,5.070000172,1995,0
6731,4.590000153,1921,0
5995,4.090000153,2010,0
8283,5.789999962,2057,0
7904,5.420000076,2095,0
5512,3.75999999,1972,0
9135,6.230000019,2044,0
5250,3.579999924,1946,0
3077,2.099999905,1237,0
8856,5.980000019,1450,0
10035,6.710000038,1495,0
7641,5.110000134,1433,0
9010,6.059999943,1468,0
13459,9,1625,0
10415,6.96999979,1529,0
11663,7.800000191,1584,0
12414,8.779999733,1638,0
11658,7.829999924,1554,0
6093,4.079999924,1397,0
8911,5.960000038,1481,0
12058,8.069999695,1638,0
14112,10,1655,0
11177,8.479999542,1570,0
11388,7.619999886,1551,0
7193,5.039999962,1377,0
7114,4.880000114,1407,0
10645,7.75,1545,0
13238,9.199999809,1650,0
10414,7.070000172,1501,0
16520,11.05000019,1760,0
14335,9.590000153,1710,0
13559,9.43999958,1628,0
12312,8.579999924,1618,0
11677,8.279999733,1590,0
11550,7.730000019,1574,0
13585,9.090000153,1633,0
14687,10.07999992,1667,0
13072,8.779999733,1630,0
746,0.5,52,0
8539,6.119999886,3654,0
0,0,1981,0
108,0.079999998,2011,0
1882,1.350000024,2951,0
1982,1.419999957,3051,0
16,0.01,1990,0
62,0.039999999,1995,0
0,0,1980,0
0,0,1980,0
0,0,1980,0
0,0,1980,0
0,0,1980,0
0,0,1980,0
0,0,1980,0
0,0,1980,0
0,0,1980,0
0,0,1980,0
0,0,1980,0
0,0,1980,0
0,0,1980,0
475,0.340000004,2207,0
4496,3.220000029,2828,0
10252,7.349999905,3879,0
11728,8.430000305,3429,0
4369,3.130000114,2704,0
6132,4.400000095,2975,0
5862,4.199999809,3089,0
4556,3.269999981,2785,0
5546,3.980000019,2926,0
3689,2.650000095,2645,0
590,0.419999987,1120,0
5394,4.03000021,2286,0
5974,4.46999979,2306,0
0,0,1776,0
3984,2.950000048,1527,0
7753,5.199999809,2115,0
8204,5.5,2135,0
10210,6.880000114,2302,0
5664,3.799999952,1985,0
4744,3.180000067,1884,0
29,0.02,1464,0
2276,1.549999952,1632,0
8925,5.989999771,2200,0
8954,6.010000229,2220,0
3702,2.480000019,1792,0
4500,3.019999981,1886,0
4935,3.309999943,1945,0
4081,2.74000001,1880,0
9259,6.210000038,2314,0
9899,6.639999866,2236,0
10780,7.230000019,2324,0
10817,7.28000021,2367,0
7990,5.360000134,2175,0
8221,5.519999981,2092,0
1251,0.839999974,1593,0
9261,6.239999771,2270,0
9648,6.46999979,2235,0
10429,7.019999981,2282,0
13658,9.489999771,2530,0
9524,6.420000076,2266,0
7937,5.329999924,2158,0
3672,2.460000038,1792,0
10378,6.960000038,2345,0
9487,6.369999886,2260,0
9129,6.130000114,2232,0
17,0.01,257,0
10122,7.78000021,2955,0
10993,8.449999809,3092,0
8863,6.820000172,2998,0
8758,6.730000019,3066,0
